logE,logR
-1.22072,-6.95980,
-1.21381,0.392365,
-1.20768,1.04200,
-1.18427,1.27133,
-1.16580,1.63058,
-1.14980,1.99747,
-1.13133,2.38728,
-1.12147,2.53252,
-1.11161,2.57076,
-1.09557,2.44087,
-1.08076,2.28806,
-1.05732,1.98242,
-1.02523,1.60037,
-0.984514,1.19542,
-0.926524,0.637658,
-0.854965,-0.00413480,
-0.846353,0.293947,
-0.803188,0.164134,
-0.704541,0.110887,
-0.692215,0.187344,
-0.613293,0.0805491,
-0.513402,-0.133188,
-0.420906,-0.400442,
-0.333339,-0.713565,
-0.250701,-1.08020,
-0.177928,-1.42393,
-0.173040,-0.766654,
-0.171838,-0.292812,
-0.157023,-0.575549,
-0.113839,-0.988138,
-0.0410532,-1.53057,
-0.0336509,-1.59170,
-0.0221414,-1.60695,
0.0124041,-1.91257,
0.0469517,-2.24875,
0.0872609,-2.69701,
0.118530,-3.18096,
0.149804,-3.73624,
0.169568,-4.26608,
0.188538,-5.21371,
0.202554,-5.84546,
0.207559,-6.95107,
