"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:08:17 PM"


32
u,s
-0.00319591,0.00190384,
0.226003,0.00124395,
0.479335,0.000681542,
0.696478,0.000393086,
0.895527,0.000234328,
1.10965,0.000155942,
1.23932,0.000132210,
1.38709,0.000120182,
1.59516,0.000118433,
1.79116,0.000128391,
1.96002,0.000145450,
2.17411,0.000172194,
2.39122,0.000202365,
2.67467,0.000241339,
2.93400,0.000268438,
3.19333,0.000289944,
3.45266,0.000288888,
3.81151,0.000274431,
4.17940,0.000247645,
4.55635,0.000212285,
5.21073,0.000145485,
5.70529,0.000108882,
6.19079,8.48434e-05,
6.64011,7.48957e-05,
7.04419,7.19353e-05,
7.40303,7.51752e-05,
7.87344,8.42335e-05,
8.29259,9.93577e-05,
8.69666,0.000117628,
9.19421,0.000144995,
9.70381,0.000178073,
9.98425,0.000198797,
